direction,market_price_at_signal,source_tier_mix,cosine_score,impact_strength,llm_confidence,ambiguity_score,specificity_score,bucket,articles_count,unique_sources_count,move_t24h_pct,direction_correct,heuristic_score,heuristic_strength,heuristic_trade_quality,confidence_label,urgency_label,tradability_label,window_estimate,price_t5min,price_t15min,price_t1h,price_t24h,price_resolved,move_t5min_pct,move_t15min_pct,move_t1h_pct,outcome_label,market_question,market_category,market_volume,market_liquidity,market_spread,market_end_date,event_title,event_type,hour_of_day
BUY_NO,0.73,"{""tier_1"": 1.0}",0.5998,0.6,0.75,0.2,0.8,politics,1,1,-3.4247,1,64.6,74.0,62.0,medium,medium,good,> 1 month,0.705,0.705,0.67,0.705,,-3.4247,-3.4247,-8.2192,,Will Flavio Bolsonaro qualify for Brazil's presidential runoff?,Global Elections,21138.092886,13414.4787,,2026-10-04 00:00:00+00,Brazil's Currency Declines Amid Bolsonaro Fraud Allegations,breaking_news,19
BUY_NO,0.13,"{""tier_1"": 1.0}",0.5381,0.7,0.85,0.2,0.8,politics,1,1,-3.8462,1,70.5,79.0,77.0,high,medium,excellent,> 1 month,0.105,0.105,0.105,0.125,,-19.2308,-19.2308,-19.2308,,New pandemic in 2026?,World,441633.959243,38795.3555,,2026-12-31 00:00:00+00,WHO Confirms Hantavirus Stability,breaking_news,22
BUY_YES,0.83,,0.7872,0.7,0.85,0.2,0.8,geopolitics,1,1,-60.8434,0,78.0,75.0,87.0,medium,critical,excellent,< 1 week,0.865,0.845,0.84,0.325,0.001,4.2169,1.8072,1.2048,0.0,"Will the US x Iran ceasefire be extended by April 21, 2026?",Geopolitics,5811146.908704,187922.56483,,2026-04-21 00:00:00+00,US-Iran Ceasefire Extension Negotiations Progress,update,16
BUY_YES,0.274,,0.6913,0.6,0.85,0.2,0.8,politics,1,1,-25.0,0,60.0,60.0,60.0,medium,medium,good,,0.2785,0.2785,0.2785,0.2055,,1.6423,1.6423,1.6423,,Will Chris Rabb be the Democratic nominee for PA-03?,Politics,51206.516109,23235.92491,,2026-05-19 00:00:00+00,CPC PAC Endorses Chris Rabb for PA House Primary,breaking_news,18
BUY_NO,0.61,,0.6765,0.7,0.85,0.2,0.8,politics,1,1,63.9344,0,69.0,74.0,54.0,medium,critical,fair,< 1 week,0.6,0.6,0.495,1.0,,-1.6393,-1.6393,-18.8525,,FISA Section 702 reauthorized before it expires?,Congress,18166.25776,1309.7421,,2026-04-19 00:00:00+00,Debate Over Section 702 Surveillance Law Intensifies,breaking_news,23
BUY_NO,0.64,"{""tier_1"": 1.0}",0.6186,0.6,0.85,0.2,0.8,politics,1,1,-25.7813,1,70.5,75.0,87.0,high,critical,excellent,< 1 week,0.625,0.625,0.625,0.475,,-2.3438,-2.3438,-2.3438,,Will Thomas Massie be the Republican nominee for KY-04?,Politics,1562691.890346,144768.5255,,2026-05-19 00:00:00+00,Trump vs. Massie Primary Election,scheduled,16
BUY_YES,0.87,"{""tier_1"": 1.0}",0.6964,0.7,0.85,0.2,0.9,economics,1,1,14.9425,1,65.5,78.0,72.0,medium,critical,good,< 1 week,0.935,0.935,0.945,1.0,,7.4713,7.4713,8.6207,,Will Trump announce a US-China Board of Trade?,China,26820.935867,120939.24645,,2026-05-22 00:00:00+00,Trump and Xi Agree on Trade Measures at Summit,breaking_news,22
BUY_YES,0.62,"{""tier_1"": 1.0}",0.6092,0.6,0.85,0.2,0.8,crypto,1,1,3.2258,1,68.8,76.0,77.0,high,medium,excellent,> 1 month,0.605,0.605,0.605,0.64,,-2.4194,-2.4194,-2.4194,,Will NVIDIA be the largest company in the world by market cap on December 31?,Economy,525316.72644,59476.1094,,2026-12-31 00:00:00+00,Nvidia Reaches $5.5 Trillion Market Cap,breaking_news,14
BUY_NO,0.14,,0.5605,0.4,0.7,0.3,0.6,economics,1,1,-17.8571,1,52.0,52.0,52.0,low,medium,good,,0.115,0.115,0.12,0.115,,-17.8571,-17.8571,-14.2857,,Will Trump's approval rating hit 44% in 2026?,Politics,2702.733101,3138.7153,,2026-12-31 00:00:00+00,Trump's Popularity Compared to Pope Leo XIV,update,5
BUY_NO,0.629,"{""tier_2"": 1.0}",0.5632,0.7,0.85,0.2,0.8,politics,1,1,0.5564,0,68.0,75.0,77.0,high,medium,excellent,> 1 month,0.6275,0.6275,0.6295,0.6325,,-0.2385,-0.2385,0.0795,,Will Nicolás Maduro be the leader of Venezuela end of 2026?,Trump-Machado,1716135.011955,45907.81663,,2026-12-31 00:00:00+00,Trump Considers Making Venezuela the 51st State,breaking_news,21
BUY_NO,0.23,"{""tier_2"": 1.0}",0.5948,0.6,0.85,0.2,0.7,politics,1,1,117.3913,0,60.4,69.0,77.0,medium,medium,excellent,> 1 month,0.235,0.235,0.235,0.5,,2.1739,2.1739,2.1739,,Will Xavier Becerra finish first in the 2026 California Governor primary election?,Politics,9084.87858,12783.7221,,2026-06-02 00:00:00+00,Xavier Becerra's Campaign Faces Missing Children Scandal,update,12
BUY_NO,0.87,"{""tier_1"": 1.0}",0.6265,0.6,0.8,0.3,0.7,politics,1,1,-0.5747,1,66.3,75.0,67.0,medium,high,good,< 1 month,0.765,0.755,0.625,0.865,,-12.069,-13.2184,-28.1609,,"UK Cabinet Minister resigns by May 31, 2026?",UK,32969.468048,14392.16054,,2026-05-31 00:00:00+00,Keir Starmer Survives Ministerial Resignations,breaking_news,17
BUY_YES,0.38,,0.6047,0.7,0.85,0.2,0.8,politics,1,1,-27.6316,0,71.0,75.0,62.0,medium,medium,good,> 1 month,0.365,0.38,0.38,0.275,,-3.9474,0.0,0.0,,Jerome Powell out from Fed Board by May 30?,Fed,203846.696604,18295.34766,,2026-12-31 00:00:00+00,Trump Threatens to Fire Fed Chair Powell,breaking_news,16
BUY_YES,0.87,,0.6534,0.9,0.95,0.1,0.9,geopolitics,1,1,-5.8621,0,83.0,85.0,77.0,medium,medium,excellent,> 1 month,0.825,0.8255,0.857,0.819,,-5.1724,-5.1149,-1.4943,,Will Steve Witkoff attend the next US x Iran diplomatic meeting?,Politics,104985.918431,8106.34311,,2026-06-30 00:00:00+00,Iran Talks to Resume This Weekend Without Top Negotiator,update,0
BUY_NO,0.58,"{""tier_1"": 1.0}",0.5439,0.6,0.8,0.3,0.7,economics,1,1,10.3448,0,61.2,73.0,67.0,medium,high,good,< 1 month,0.565,0.565,0.61,0.64,,-2.5862,-2.5862,5.1724,,Will Alibaba have the best AI model at the end of May 2026?,China,33017.664316,5335.9684,,2026-05-31 00:00:00+00,China's Tech Giants Miss AI Stock Market Rally,update,23
BUY_YES,0.47,"{""tier_2"": 1.0}",,0.6,0.75,0.3,0.7,sports,1,1,72.4468,1,59.5,68.0,67.0,medium,high,good,< 1 month,0.465,0.475,0.47,0.8105,,-1.0638,1.0638,0.0,,"Will Tesla, Inc. (TSLA) hit (HIGH) $450 in May?",Finance,24125.109104,56207.3398,,2026-06-01 03:59:59.999+00,Tesla Investors Benefit from Optimus Valuation,update,13
BUY_NO,0.86,,0.5785,0.7,0.85,0.2,0.7,geopolitics,1,1,8.1395,0,74.0,75.0,71.0,medium,high,good,< 1 month,0.865,0.86,0.925,0.93,,0.5814,0.0,7.5581,,Iran x Israel/US conflict ends by May 15?,Middle East,6494798.15491,1302443.84472,,2026-05-15 00:00:00+00,US-Israel Conflict with Iran: Ongoing Challenges,update,11
BUY_NO,0.2,,0.5291,0.6,0.85,0.3,0.7,politics,1,1,-19.25,1,72.0,71.0,77.0,medium,medium,excellent,> 1 month,0.1135,0.119,0.133,0.1615,,-43.25,-40.5,-33.5,,Will Lebanon recognize Israel by June 30?,Israel,44745.297935,8406.09113,,2026-06-30 00:00:00+00,Netanyahu's Strategic Focus on Lebanon,update,17
BUY_YES,0.09,"{""tier_1"": 1.0}",0.5392,0.6,0.85,0.3,0.7,geopolitics,1,1,-100.0,0,64.6,71.0,93.0,medium,critical,excellent,Resolving now,0.0,0.0,0.0,0.0,,-100.0,-100.0,-100.0,,"Will the 7-day moving average of Strait of Hormuz transits be less than 4 on April 19, 2026?",Oil,1633.658585,14900.94,,2026-04-19 00:00:00+00,Decrease in Vessel Traffic Through Strait Due to Security Risks,breaking_news,10
BUY_NO,0.07,"{""tier_2"": 1.0}",0.5969,0.6,0.85,0.2,0.7,geopolitics,1,1,-64.2857,1,63.8,71.0,87.0,medium,critical,excellent,< 1 week,0.1,0.1,0.095,0.025,,42.8571,42.8571,35.7143,,Will Netanyahu talk to Joseph Aoun by April 30?,Politics,28979.780722,1424.17519,,2026-04-30 00:00:00+00,Lebanese President Aoun Rejects Use of Lebanon in Regional Conflicts,breaking_news,3
BUY_YES,0.83,"{""tier_1"": 1.0}",0.5555,0.7,0.85,0.2,0.8,politics,1,1,1.8072,1,70.5,79.0,77.0,high,medium,excellent,> 1 month,0.835,0.83,0.81,0.845,,0.6024,0.0,-2.4096,,Will the Republican Party win the TN-08 House seat?,Elections,9769.217656,11065.2529,,2026-11-03 00:00:00+00,Tennessee Approves New Congressional Map,breaking_news,18
BUY_NO,0.135,,0.5922,0.4,0.7,0.3,0.5,politics,1,1,-28.5185,1,60.0,60.0,62.0,low,medium,good,> 1 month,0.0905,0.088,0.0885,0.0965,,-32.963,-34.8148,-34.4444,,Will Trump pardon Himself before 2027?,Trump,3977.699304,4688.16324,,2026-12-31 00:00:00+00,Supreme Court Urged to Limit Trump's Pardoning Power,update,16
BUY_YES,0.84,"{""tier_2"": 1.0}",0.6875,0.7,0.85,0.2,0.9,geopolitics,1,1,-56.5476,0,69.7,74.0,87.0,high,critical,excellent,< 1 week,0.505,0.48,0.48,0.365,,-39.881,-42.8571,-42.8571,,Will China announce a Boeing aircraft purchase by May 22?,Trump-Xi Summit,200011.717248,13995.6916,,2026-05-22 00:00:00+00,China's Potential Purchase of Boeing Planes,breaking_news,11
BUY_YES,0.78,,0.678,0.7,0.85,0.2,0.8,politics,1,1,-20.5128,0,69.0,69.0,69.0,medium,medium,excellent,,0.79,0.795,0.795,0.62,,1.2821,1.9231,1.9231,,Sheila Cherfilus-McCormick out as US Rep by May 31?,Politics,4847.083285,16525.7127,,2026-05-31 00:00:00+00,Speaker Johnson Calls for Cherfilus-McCormick's Expulsion,breaking_news,16
BUY_YES,0.232,"{""tier_1"": 1.0}",0.697,0.6,0.85,0.2,0.8,politics,1,1,105.819,1,68.0,75.0,77.0,high,medium,excellent,> 1 month,0.4345,0.4345,0.4305,0.4775,,87.2845,87.2845,85.5603,,Will Andy Burnham be the next Prime Minister of the United Kingdom in 2026?,Politics,592050.974828,48399.18013,,2026-12-31 00:00:00+00,Burnham Cleared to Run in By-Election,breaking_news,18
BUY_YES,0.84,"{""tier_1"": 1.0}",0.6164,0.7,0.85,0.2,0.8,geopolitics,1,1,-64.881,0,73.1,80.0,87.0,high,critical,excellent,< 1 week,0.7,0.695,0.675,0.295,,-16.6667,-17.2619,-19.6429,,Will China announce a U.S. soybean purchase by May 22?,Trump-Xi Summit,38309.843864,12048.5476,,2026-05-22 00:00:00+00,US Expects Major Chinese Farm Purchases Post Trump-Xi Summit,breaking_news,8
BUY_YES,0.42,"{""tier_1"": 1.0}",0.5653,0.6,0.8,0.3,0.7,geopolitics,1,1,8.3333,1,61.2,73.0,65.0,medium,medium,good,> 1 month,0.425,0.425,0.435,0.455,,1.1905,1.1905,3.5714,,Strait of Hormuz traffic returns to normal by July 31?,Strait of Hormuz,369137.978872,110870.6638,,2026-07-31 00:00:00+00,Increase in Tanker Activity Near Iran's Oil Export Hub,breaking_news,10
BUY_YES,0.89,,0.5833,0.6,0.8,0.3,0.7,geopolitics,1,1,8.0337,1,68.0,70.0,65.0,medium,medium,good,,0.905,0.905,0.905,0.9615,,1.6854,1.6854,1.6854,,Iran x Israel/US conflict ends by June 30?,Middle East,4199358.870836,1608085.93398,,2026-06-30 00:00:00+00,Iran Considers Abiding by US Oil Blockade,update,20
BUY_YES,0.68,,0.6364,0.7,0.85,0.2,0.8,economics,1,1,5.8824,1,71.0,75.0,62.0,medium,medium,good,> 1 month,0.665,0.665,0.665,0.72,,-2.2059,-2.2059,-2.2059,,Jerome Powell out from Fed Board by December 31?,Fed,123115.37352,8767.5763,,2026-12-31 00:00:00+00,Trump Threatens to Fire Federal Reserve Chair Powell,breaking_news,16
BUY_YES,0.327,,0.5424,0.7,0.85,0.2,0.8,geopolitics,1,1,-11.9266,0,78.0,75.0,87.0,medium,critical,excellent,< 1 week,0.8185,0.808,0.8155,0.288,,150.3058,147.0948,149.3884,,Will 10 or more ships be successfully targeted by Iran by April 30?,shipping,49466.354494,13345.11998,,2026-04-30 00:00:00+00,Iran Seizes Ship Linked to US Military,breaking_news,0
BUY_NO,0.001,,0.6389,0.9,0.95,0.1,0.9,politics,1,1,-50.0,1,80.0,80.0,80.0,medium,critical,good,,0.0005,0.0005,0.0005,0.0005,,-50.0,-50.0,-50.0,,Will the next Prime Minister of Hungary be István Kapitány?,World,21721726.518136,143954.12696,,2026-04-12 00:00:00+00,Hungary's Election Winner Magyar to be Sworn in as Prime Minister,scheduled,18
BUY_NO,0.645,"{""tier_1"": 1.0}",0.5205,0.6,0.75,0.3,0.7,science,1,1,-0.4651,1,62.9,74.0,77.0,medium,medium,excellent,> 1 month,0.6325,0.631,0.632,0.642,,-1.938,-2.1705,-2.0155,,Will Anthropic have the best AI model at the end of June 2026?,Tech,855441.451015,42683.98865,,2026-06-30 00:00:00+00,OpenAI Gains Opportunity Amid Anthropic's Computing Constraints,update,9
BUY_NO,0.475,"{""tier_2"": 1.0}",0.6579,0.6,0.75,0.3,0.7,politics,1,1,1.3684,0,57.8,69.0,65.0,medium,medium,good,> 1 month,0.4735,0.4735,0.4735,0.4815,,-0.3158,-0.3158,-0.3158,,Will Xavier Becerra win the California Governor Election in 2026?,Elections,870249.342934,134529.18822,,2026-11-03 00:00:00+00,California Gubernatorial Debate Features Attacks on Xavier Becerra,breaking_news,10
BUY_NO,0.75,"{""tier_1"": 1.0}",0.5287,0.6,0.85,0.2,0.8,other,1,1,-7.3333,1,62.9,75.0,62.0,medium,medium,good,> 1 month,0.83,0.82,0.82,0.695,,10.6667,9.3333,9.3333,,Labour leadership election scheduled by June 30?,Politics,21800.528065,2674.5284,,2026-06-30 00:00:00+00,UK's Starmer Faces Labour Party Rebellion,breaking_news,15
BUY_YES,0.31,"{""tier_1"": 1.0}",0.6357,0.6,0.75,0.2,0.8,economics,1,1,-100.0,0,66.3,74.0,72.0,medium,critical,good,< 1 week,0.018,0.018,0.0105,0.0,,-94.1935,-94.1935,-96.6129,,Will Figure's F.03 robots run between 8 and 50 hours without failure?,Tech,51622.51863,2129.893,,2026-05-21 00:00:00+00,Figure AI's Humanoid Robots Achieve 50-Hour Milestone,breaking_news,17
BUY_NO,0.905,"{""tier_1"": 1.0}",0.5704,0.6,0.75,0.3,0.7,sports,1,1,3.4807,0,68.8,74.0,83.0,high,high,excellent,< 1 month,0.9045,0.9045,0.9035,0.9365,,-0.0552,-0.0552,-0.1657,,Will NVIDIA be the largest company in the world by market cap on May 31?,Tech,978815.044359,53373.73404,,2026-05-31 06:00:00+00,Alphabet Challenges Nvidia for Largest Company Title,breaking_news,10
